Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,9,1665,6.737
1,GBFS,h1,9,254,1.087
1,GBFS,h2,9,254,1.0906
1,GBFS,h3,9,254,1.041
1,GBFS,h4,9,254,1.3143
1,A/A*,h1,9,1200,6.0604
1,A/A*,h2,9,1200,6.064
1,A/A*,h3,9,232,0.946
1,A/A*,h4,9,429,2.369
2,UCS,NA,6,28,0.064
2,GBFS,h1,6,19,0.051
2,GBFS,h2,6,19,0.0515
2,GBFS,h3,6,19,0.052
2,GBFS,h4,6,19,0.0597
2,A/A*,h1,6,28,0.077
2,A/A*,h2,6,28,0.08
2,A/A*,h3,6,19,0.051
2,A/A*,h4,6,28,0.095
3,UCS,NA,5,23,0.054
3,GBFS,h1,5,14,0.038
3,GBFS,h2,5,14,0.038
3,GBFS,h3,5,14,0.038
3,GBFS,h4,5,14,0.0441
3,A/A*,h1,5,23,0.069
3,A/A*,h2,5,23,0.067
3,A/A*,h3,5,14,0.037
3,A/A*,h4,5,23,0.085
4,UCS,NA,6,36,0.084
4,GBFS,h1,6,29,0.085
4,GBFS,h2,6,29,0.081
4,GBFS,h3,6,29,0.0821
4,GBFS,h4,6,29,0.098
4,A/A*,h1,6,36,0.105
4,A/A*,h2,6,36,0.1046
4,A/A*,h3,6,29,0.0831
4,A/A*,h4,6,36,0.1224
5,UCS,NA,6,31,0.0705
5,GBFS,h1,6,17,0.044
5,GBFS,h2,6,17,0.046
5,GBFS,h3,6,17,0.042
5,GBFS,h4,6,17,0.049
5,A/A*,h1,6,25,0.0726
5,A/A*,h2,6,25,0.069
5,A/A*,h3,6,17,0.046
5,A/A*,h4,6,25,0.078
6,UCS,NA,8,30,0.065
6,GBFS,h1,8,18,0.047
6,GBFS,h2,8,18,0.045
6,GBFS,h3,8,18,0.046
6,GBFS,h4,8,18,0.052
6,A/A*,h1,8,26,0.0665
6,A/A*,h2,8,26,0.065
6,A/A*,h3,8,18,0.046
6,A/A*,h4,8,26,0.0775
7,UCS,NA,5,39,0.103
7,GBFS,h1,5,21,0.064
7,GBFS,h2,5,21,0.065
7,GBFS,h3,5,21,0.065
7,GBFS,h4,5,21,0.079
7,A/A*,h1,5,33,0.109
7,A/A*,h2,5,33,0.112
7,A/A*,h3,5,21,0.065
7,A/A*,h4,5,33,0.126
8,UCS,NA,6,53,0.137
8,GBFS,h1,6,43,0.146
8,GBFS,h2,6,43,0.15
8,GBFS,h3,6,43,0.142
8,GBFS,h4,6,43,0.168
8,A/A*,h1,6,50,0.174
8,A/A*,h2,6,50,0.166
8,A/A*,h3,6,43,0.137
8,A/A*,h4,6,50,0.2001
9,UCS,NA,13,75,0.184
9,GBFS,h1,13,42,0.121
9,GBFS,h2,13,42,0.124
9,GBFS,h3,13,42,0.126
9,GBFS,h4,13,42,0.148
9,A/A*,h1,13,75,0.232
9,A/A*,h2,13,75,0.234
9,A/A*,h3,13,42,0.1221
9,A/A*,h4,13,79,0.277
10,UCS,NA,5,89,0.252
10,GBFS,h1,5,19,0.064
10,GBFS,h2,5,19,0.065
10,GBFS,h3,5,19,0.062
10,GBFS,h4,5,19,0.077
10,A/A*,h1,5,74,0.2633
10,A/A*,h2,5,74,0.2632
10,A/A*,h3,5,19,0.06
10,A/A*,h4,5,38,0.166
11,UCS,NA,8,119,0.3546
11,GBFS,h1,8,89,0.3201
11,GBFS,h2,8,89,0.3171
11,GBFS,h3,8,89,0.298
11,GBFS,h4,8,89,0.3805
11,A/A*,h1,8,118,0.416
11,A/A*,h2,8,118,0.418
11,A/A*,h3,8,89,0.311
