Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,2,17,0.0718
1,GBFS,h1,2,4,0.015
1,GBFS,h2,2,4,0.016
1,GBFS,h3,2,4,0.016
1,GBFS,h4,2,4,0.018
1,A/A*,h1,2,7,0.032
1,A/A*,h2,2,7,0.03
1,A/A*,h3,2,4,0.015
1,A/A*,h4,2,7,0.036
2,UCS,NA,10,2012,15.2308
2,GBFS,h1,10,123,0.724
2,GBFS,h2,10,123,0.7347
2,GBFS,h3,10,123,0.7404
2,GBFS,h4,10,123,0.9283
2,A/A*,h1,10,591,4.239
2,A/A*,h2,10,591,4.0286
2,A/A*,h3,10,150,0.921
2,A/A*,h4,10,398,3.3031
3,UCS,NA,17,5219,36.0927
3,GBFS,h1,26,2887,21.6062
3,GBFS,h2,26,2887,21.8722
3,GBFS,h3,26,2887,21.9956
3,GBFS,h4,26,2887,25.2705
3,A/A*,h1,17,4854,40.1798
3,A/A*,h2,17,4854,39.938
3,A/A*,h3,17,2780,21.7085
3,A/A*,h4,17,3278,30.2267
4,UCS,NA,0,156,0.775
4,GBFS,h1,0,156,0.9451
4,GBFS,h2,0,156,0.9507
4,GBFS,h3,0,156,0.9636
4,GBFS,h4,0,156,1.145
4,A/A*,h1,0,156,0.9263
4,A/A*,h2,0,156,0.9328
4,A/A*,h3,0,216,1.3012
4,A/A*,h4,0,214,1.5915
5,UCS,NA,0,353,1.8445
5,GBFS,h1,0,353,2.127
5,GBFS,h2,0,353,2.0982
5,GBFS,h3,0,353,2.0847
5,GBFS,h4,0,353,2.4252
5,A/A*,h1,0,353,2.115
5,A/A*,h2,0,353,2.0959
5,A/A*,h3,0,359,2.1562
5,A/A*,h4,0,354,2.4464
6,UCS,NA,32,843,2.885
6,GBFS,h1,36,558,2.2985
6,GBFS,h2,36,558,2.3176
6,GBFS,h3,36,558,2.3074
6,GBFS,h4,36,558,2.712
6,A/A*,h1,32,647,2.6802
6,A/A*,h2,32,647,2.6855
6,A/A*,h3,34,598,2.4392
6,A/A*,h4,34,605,3.0536
